ID,CSV,HEIGHTMAP
0,gravelpit1_real_evaluation_0.csv,gravelpit1.png
1,gravelpit1_real_evaluation_1.csv,gravelpit1.png
2,gravelpit1_real_evaluation_2.csv,gravelpit1.png
3,gravelpit1_real_evaluation_3.csv,gravelpit1.png
4,gravelpit1_real_evaluation_4.csv,gravelpit1.png
5,gravelpit1_real_evaluation_5.csv,gravelpit1.png
6,gravelpit1_real_evaluation_6.csv,gravelpit1.png
7,gravelpit1_real_evaluation_7.csv,gravelpit1.png
8,gravelpit1_real_evaluation_8.csv,gravelpit1.png
9,gravelpit1_real_evaluation_9.csv,gravelpit1.png
10,gravelpit1_real_evaluation_10.csv,gravelpit1.png
11,gravelpit1_real_evaluation_11.csv,gravelpit1.png
12,gravelpit1_real_evaluation_12.csv,gravelpit1.png
13,gravelpit1_real_evaluation_13.csv,gravelpit1.png
14,gravelpit1_real_evaluation_14.csv,gravelpit1.png
15,gravelpit1_real_evaluation_15.csv,gravelpit1.png
16,gravelpit1_real_evaluation_16.csv,gravelpit1.png
17,gravelpit1_real_evaluation_17.csv,gravelpit1.png
18,gravelpit1_real_evaluation_18.csv,gravelpit1.png
19,gravelpit1_real_evaluation_19.csv,gravelpit1.png
20,gravelpit1_real_evaluation_20.csv,gravelpit1.png
21,gravelpit1_real_evaluation_21.csv,gravelpit1.png
22,gravelpit1_real_evaluation_22.csv,gravelpit1.png
23,gravelpit1_real_evaluation_23.csv,gravelpit1.png
24,gravelpit1_real_evaluation_24.csv,gravelpit1.png
25,gravelpit1_real_evaluation_25.csv,gravelpit1.png
26,gravelpit1_real_evaluation_26.csv,gravelpit1.png
27,gravelpit1_real_evaluation_27.csv,gravelpit1.png
28,gravelpit1_real_evaluation_28.csv,gravelpit1.png
29,gravelpit1_real_evaluation_29.csv,gravelpit1.png
30,gravelpit5_real_evaluation_0.csv,gravelpit5.png
31,gravelpit5_real_evaluation_1.csv,gravelpit5.png
32,gravelpit5_real_evaluation_2.csv,gravelpit5.png
33,gravelpit5_real_evaluation_3.csv,gravelpit5.png
34,gravelpit5_real_evaluation_4.csv,gravelpit5.png
35,gravelpit5_real_evaluation_5.csv,gravelpit5.png
36,gravelpit5_real_evaluation_6.csv,gravelpit5.png
37,gravelpit5_real_evaluation_7.csv,gravelpit5.png
38,gravelpit5_real_evaluation_8.csv,gravelpit5.png
39,gravelpit5_real_evaluation_9.csv,gravelpit5.png
40,gravelpit5_real_evaluation_10.csv,gravelpit5.png
41,gravelpit5_real_evaluation_11.csv,gravelpit5.png
42,gravelpit5_real_evaluation_12.csv,gravelpit5.png
43,gravelpit5_real_evaluation_13.csv,gravelpit5.png
44,gravelpit5_real_evaluation_14.csv,gravelpit5.png
45,gravelpit5_real_evaluation_15.csv,gravelpit5.png
46,gravelpit5_real_evaluation_16.csv,gravelpit5.png
47,gravelpit5_real_evaluation_17.csv,gravelpit5.png
48,gravelpit5_real_evaluation_18.csv,gravelpit5.png
49,gravelpit5_real_evaluation_19.csv,gravelpit5.png
50,gravelpit5_real_evaluation_20.csv,gravelpit5.png
51,gravelpit5_real_evaluation_21.csv,gravelpit5.png
52,gravelpit5_real_evaluation_22.csv,gravelpit5.png
53,gravelpit5_real_evaluation_23.csv,gravelpit5.png
54,gravelpit5_real_evaluation_24.csv,gravelpit5.png
55,gravelpit5_real_evaluation_25.csv,gravelpit5.png
56,gravelpit5_real_evaluation_26.csv,gravelpit5.png
57,gravelpit5_real_evaluation_27.csv,gravelpit5.png
58,gravelpit5_real_evaluation_28.csv,gravelpit5.png
59,gravelpit5_real_evaluation_29.csv,gravelpit5.png
